Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
2100,2100.0,0.1433,36,major_purchase,3.50%,LA,OWN,1000.0,690-694,13.0,893.0,1.0,< 1 year
3500,3500.0,0.0762,36,debt_consolidation,20.93%,CA,RENT,4333.33,725-729,9.0,11538.0,0.0,6 years
19000,19000.0,0.1433,60,credit_card,16.06%,IL,MORTGAGE,5000.0,715-719,8.0,20918.0,0.0,10+ years
10500,10477.85,0.1533,36,credit_card,14.30%,NY,RENT,3083.33,670-674,8.0,14726.0,0.0,10+ years
2500,2500.0,0.1849,36,debt_consolidation,22.49%,PA,MORTGAGE,3916.67,670-674,7.0,14892.0,2.0,6 years
16000,16000.0,0.1459,36,debt_consolidation,9.47%,CA,RENT,5416.67,690-694,9.0,15518.0,0.0,10+ years
10000,10000.0,0.0542,36,credit_card,10.41%,GA,MORTGAGE,7500.0,780-784,11.0,11532.0,0.0,9 years
7100,7100.0,0.1409,36,credit_card,19.22%,OH,RENT,4166.67,685-689,13.0,6788.0,2.0,2 years
12500,12425.0,0.0932,36,home_improvement,11.71%,TX,MORTGAGE,4166.67,780-784,7.0,1052.0,0.0,2 years
1700,1700.0,0.1399,36,car,20.67%,NY,OWN,1200.0,675-679,10.0,7382.0,0.0,4 years
4000,4000.0,0.1114,36,debt_consolidation,12.20%,WA,MORTGAGE,6666.67,670-674,7.0,7153.0,0.0,5 years
18225,18225.0,0.1799,36,debt_consolidation,23.35%,VA,RENT,3083.33,675-679,6.0,17128.0,1.0,3 years
10000,10000.0,0.0654,36,home_improvement,17.05%,FL,RENT,6916.67,730-734,6.0,10302.0,0.0,3 years
6000,6000.0,0.079,36,credit_card,2.51%,GA,RENT,7500.0,720-724,5.0,6394.0,0.0,2 years
6000,6000.0,0.1212,36,major_purchase,7.40%,PA,MORTGAGE,5000.0,675-679,6.0,14045.0,0.0,2 years
6000,6000.0,0.158,36,debt_consolidation,19.56%,WA,OWN,1666.67,675-679,7.0,5291.0,0.0,< 1 year
7000,7000.0,0.1777,36,debt_consolidation,18.15%,WV,RENT,4750.0,665-669,11.0,12307.0,1.0,< 1 year
10000,10000.0,0.1531,36,credit_card,9.55%,TX,OWN,4166.67,670-674,11.0,11551.0,0.0,4 years
3250,3250.0,0.1273,36,debt_consolidation,21.44%,FL,MORTGAGE,5000.0,675-679,12.0,20564.0,0.0,3 years
11000,11000.0,0.0762,36,debt_consolidation,12.35%,NY,OWN,7666.67,735-739,6.0,12461.0,1.0,7 years
5500,5400.0,0.0714,36,credit_card,19.86%,MO,MORTGAGE,3916.67,750-754,15.0,10254.0,1.0,< 1 year
15000,15000.0,0.079,36,debt_consolidation,5.59%,MO,RENT,2916.67,770-774,13.0,14290.0,1.0,9 years
20000,17890.7,0.1991,60,debt_consolidation,17.49%,CA,MORTGAGE,7916.67,670-674,17.0,39621.0,1.0,6 years
4000,4000.0,0.1864,60,debt_consolidation,19.15%,MN,RENT,4000.0,675-679,9.0,16543.0,2.0,6 years
20000,20000.0,0.089,36,debt_consolidation,11.01%,MD,MORTGAGE,7083.33,730-734,13.0,28324.0,2.0,10+ years
15000,14900.0,0.1974,60,credit_card,16.80%,TX,MORTGAGE,5833.33,660-664,14.0,8587.0,2.0,3 years
8000,8000.0,0.1114,36,debt_consolidation,11.59%,CA,RENT,7000.0,685-689,7.0,4729.0,1.0,3 years
20675,20675.0,0.1433,36,credit_card,23.12%,NM,MORTGAGE,4333.33,710-714,12.0,8393.0,1.0,10+ years
12000,11875.0,0.0766,36,debt_consolidation,13.31%,NY,MORTGAGE,5416.67,740-744,8.0,9993.0,2.0,3 years
5000,5000.0,0.0999,36,wedding,21.33%,VA,RENT,5316.67,695-699,7.0,23818.0,0.0,7 years
4750,4750.0,0.089,36,home_improvement,0.56%,PA,OWN,2833.33,760-764,2.0,767.0,0.0,9 years
6500,6500.0,0.1212,36,credit_card,24.97%,TX,OWN,3500.0,680-684,7.0,6948.0,0.0,1 year
1900,1900.0,0.1284,36,home_improvement,23.29%,UT,MORTGAGE,2860.0,670-674,9.0,24209.0,2.0,< 1 year
6000,6000.0,0.079,36,house,6.68%,NY,RENT,10416.67,710-714,9.0,20592.0,0.0,10+ years
8500,8500.0,0.0762,36,credit_card,13.67%,FL,RENT,4333.33,720-724,11.0,15284.0,0.0,4 years
9250,9250.0,0.1212,36,debt_consolidation,29.46%,TX,MORTGAGE,3333.33,685-689,10.0,5440.0,0.0,10+ years
1875,1875.0,0.1349,36,credit_card,18.83%,NY,RENT,1200.0,675-679,8.0,5342.0,2.0,1 year
10000,10000.0,0.1347,36,car,5.59%,TX,RENT,4583.0,690-694,6.0,2432.0,1.0,4 years
25000,25000.0,0.1523,60,debt_consolidation,17.97%,KS,MORTGAGE,8917.0,730-734,10.0,22566.0,1.0,10+ years
5000,5000.0,0.1399,60,debt_consolidation,11.29%,NC,MORTGAGE,3083.0,710-714,5.0,1073.0,2.0,2 years
6000,5996.63,0.1361,60,major_purchase,20.85%,CA,MORTGAGE,2700.0,695-699,10.0,10932.0,2.0,2 years
10000,10000.0,0.1422,36,debt_consolidation,12.24%,NJ,RENT,2541.67,680-684,4.0,13667.0,0.0,8 years
5375,5325.0,0.0662,36,debt_consolidation,20.93%,NV,RENT,3000.0,730-734,7.0,5640.0,0.0,3 years
19000,18898.03,0.1632,60,debt_consolidation,22.41%,NY,RENT,4333.33,700-704,5.0,23016.0,1.0,2 years
10000,10000.0,0.1074,36,debt_consolidation,18.15%,CA,RENT,5833.33,700-704,10.0,16894.0,0.0,4 years
8800,8800.0,0.1311,60,major_purchase,2.88%,AZ,MORTGAGE,2500.0,740-744,3.0,607.0,0.0,2 years
9500,9475.0,0.1595,60,credit_card,24.88%,CA,RENT,6000.0,705-709,6.0,14621.0,2.0,10+ years
16500,16500.0,0.1171,36,credit_card,11.05%,CT,MORTGAGE,7250.0,725-729,8.0,17247.0,2.0,10+ years
25000,24875.0,0.1171,60,debt_consolidation,13.42%,IL,MORTGAGE,6250.0,755-759,5.0,18591.0,0.0,10+ years
24000,24000.0,0.1212,36,debt_consolidation,16.24%,NJ,RENT,4500.0,700-704,8.0,29098.0,1.0,10+ years
7000,6875.0,0.1036,36,major_purchase,13.94%,CA,RENT,5000.0,690-694,5.0,1364.0,2.0,10+ years
24175,24175.0,0.1311,36,home_improvement,7.66%,GA,RENT,6250.0,710-714,8.0,4681.0,1.0,10+ years
2800,2800.0,0.079,36,credit_card,17.16%,MA,RENT,3583.33,720-724,12.0,5182.0,0.0,2 years
4000,4000.0,0.1171,60,car,13.17%,PA,RENT,3500.0,705-709,6.0,5915.0,0.0,3 years
10000,10000.0,0.1212,36,debt_consolidation,10.88%,CT,MORTGAGE,7500.0,665-669,6.0,24924.0,0.0,10+ years
7125,7125.0,0.1016,36,debt_consolidation,4.95%,MA,RENT,2946.67,710-714,6.0,5015.0,1.0,6 years
10000,9325.0,0.0832,36,other,6.25%,FL,MORTGAGE,6666.67,750-754,10.0,3248.0,0.0,< 1 year
10000,10000.0,0.1311,36,credit_card,5.30%,CA,RENT,6250.0,695-699,5.0,9620.0,1.0,2 years
4400,4398.89,0.1531,36,debt_consolidation,21.51%,NC,RENT,4625.0,670-674,8.0,5707.0,1.0,6 years
10000,10000.0,0.1212,36,debt_consolidation,11.52%,CA,RENT,4166.67,710-714,7.0,9817.0,1.0,4 years
9450,9450.0,0.1212,36,credit_card,33.62%,FL,RENT,2750.0,700-704,17.0,14246.0,0.0,6 years
3500,3500.0,0.0762,36,other,1.83%,IL,MORTGAGE,7500.0,765-769,4.0,6944.0,0.0,9 years
11750,11750.0,0.1099,36,debt_consolidation,10.30%,NC,RENT,4583.33,700-704,6.0,5613.0,0.0,3 years
15000,15000.0,0.1433,36,debt_consolidation,16.15%,CA,RENT,9166.67,700-704,15.0,24563.0,1.0,< 1 year
16000,15975.0,0.1343,60,major_purchase,6.80%,CA,MORTGAGE,5000.0,745-749,10.0,1132.0,2.0,< 1 year
12000,11975.0,0.1523,60,home_improvement,13.91%,NV,MORTGAGE,7083.33,705-709,7.0,3923.0,2.0,7 years
10050,10050.0,0.1433,36,debt_consolidation,7.97%,NV,OTHER,7266.67,675-679,8.0,24281.0,0.0,2 years
9000,8996.01,0.1505,36,debt_consolidation,23.75%,CA,RENT,5166.67,675-679,7.0,15149.0,1.0,1 year
5400,200.0,0.0775,36,educational,3%,GA,RENT,666.67,760-764,4.0,1321.0,0.0,< 1 year
12000,12000.0,0.1212,36,debt_consolidation,26.96%,CA,RENT,3833.33,690-694,15.0,6038.0,0.0,4 years
2000,2000.0,0.1727,36,debt_consolidation,8.64%,CA,RENT,1666.67,670-674,5.0,4595.0,2.0,n/a
24000,24000.0,0.1269,36,other,19.53%,MN,RENT,4583.33,710-714,5.0,21377.0,0.0,5 years
16800,16800.0,0.2247,60,debt_consolidation,13.55%,OH,MORTGAGE,4000.0,660-664,12.0,12179.0,1.0,10+ years
3500,3500.0,0.1269,36,major_purchase,5.36%,NC,MORTGAGE,7083.0,665-669,6.0,11616.0,0.0,10+ years
4000,3910.45,0.0766,36,home_improvement,20.92%,NY,MORTGAGE,3600.0,725-729,4.0,594.0,0.0,10+ years
16000,15975.0,0.1629,36,debt_consolidation,32.91%,OH,OWN,3333.33,695-699,10.0,24134.0,1.0,2 years
8800,8800.0,0.1825,60,debt_consolidation,13.89%,KY,RENT,2916.67,685-689,5.0,7794.0,2.0,2 years
19750,19725.0,0.1596,36,debt_consolidation,24.14%,VA,MORTGAGE,5166.67,680-684,12.0,33368.0,2.0,10+ years
19750,19725.0,0.2077,60,debt_consolidation,14.85%,KS,RENT,4000.0,670-674,4.0,1948.0,1.0,3 years
10000,10000.0,0.1632,36,home_improvement,1.69%,MA,MORTGAGE,10000.0,695-699,3.0,5624.0,0.0,10+ years
5000,0.0,0.0863,36,debt_consolidation,1.92%,NJ,RENT,2600.0,730-734,13.0,814.0,0.0,8 years
9600,9600.0,0.0662,36,debt_consolidation,3.82%,SC,RENT,4333.33,760-764,7.0,1039.0,1.0,3 years
7000,7000.0,0.1242,36,credit_card,15.11%,CA,RENT,7083.33,685-689,15.0,16049.0,2.0,10+ years
8400,8400.0,0.1074,36,debt_consolidation,7.82%,LA,RENT,2083.33,720-724,7.0,4282.0,1.0,9 years
5600,5600.0,0.1433,36,debt_consolidation,25.29%,OH,RENT,3333.33,675-679,8.0,17471.0,1.0,4 years
15000,15000.0,0.1212,36,vacation,3.41%,NY,RENT,3166.67,720-724,5.0,3338.0,0.0,3 years
17500,17500.0,0.1323,60,debt_consolidation,23.03%,MD,RENT,3500.0,735-739,6.0,17734.0,0.0,< 1 year
12000,11975.0,0.1212,36,debt_consolidation,10.84%,NJ,RENT,7083.33,685-689,11.0,20601.0,0.0,4 years
15000,15000.0,0.1114,36,credit_card,15.51%,GA,MORTGAGE,8750.0,690-694,9.0,15207.0,0.0,10+ years
5000,5000.0,0.1,60,car,9.28%,FL,RENT,4000.0,735-739,6.0,3448.0,0.0,< 1 year
15000,15000.0,0.1649,36,credit_card,14.92%,MA,RENT,6294.25,680-684,11.0,20270.0,1.0,3 years
7000,7000.0,0.158,36,debt_consolidation,11.53%,FL,MORTGAGE,3166.67,675-679,11.0,6658.0,2.0,3 years
18000,18000.0,0.1212,36,debt_consolidation,10.08%,CA,RENT,6666.67,705-709,13.0,17773.0,0.0,7 years
6000,6000.0,0.1189,36,debt_consolidation,9.77%,CA,RENT,4166.67,695-699,13.0,15377.0,1.0,10+ years
16000,16000.0,0.089,36,credit_card,14.85%,CA,RENT,5750.0,725-729,7.0,14431.0,0.0,6 years
8000,8000.0,0.1212,36,home_improvement,7.90%,NJ,MORTGAGE,4166.67,705-709,6.0,7419.0,1.0,n/a
11050,10878.55,0.1474,36,debt_consolidation,15.47%,CA,RENT,5250.0,675-679,12.0,27780.0,1.0,< 1 year
15000,15000.0,0.1465,60,credit_card,17.21%,NJ,RENT,4583.33,730-734,4.0,13115.0,1.0,8 years
12000,12000.0,0.1433,36,debt_consolidation,13.53%,CA,MORTGAGE,8000.0,685-689,13.0,12968.0,1.0,3 years
12000,12000.0,0.1799,36,other,19.89%,CA,RENT,5129.0,660-664,8.0,8923.0,0.0,5 years
12000,12000.0,0.1036,36,debt_consolidation,11.92%,PA,MORTGAGE,10333.33,690-694,16.0,8987.0,0.0,5 years
7500,7500.0,0.0542,36,home_improvement,22.26%,OH,MORTGAGE,2583.33,785-789,11.0,2160.0,0.0,10+ years
16000,16000.0,0.1531,36,debt_consolidation,19.92%,MA,RENT,6000.0,690-694,11.0,10915.0,1.0,7 years
12200,12200.0,0.2148,60,credit_card,9.12%,AK,RENT,6666.67,695-699,9.0,17282.0,0.0,10+ years
12000,12000.0,0.1016,36,debt_consolidation,11.93%,CA,RENT,8054.5,710-714,13.0,14986.0,0.0,10+ years
12000,12000.0,0.1531,36,debt_consolidation,25.86%,MA,OWN,3333.33,665-669,9.0,10310.0,0.0,n/a
9800,9775.0,0.0599,36,debt_consolidation,14.44%,AL,MORTGAGE,6666.67,765-769,5.0,11466.0,0.0,3 years
7000,7000.0,0.1472,36,debt_consolidation,11.39%,WI,MORTGAGE,6833.0,670-674,11.0,5537.0,1.0,7 years
10000,10000.0,0.1171,36,moving,2.18%,CA,RENT,5500.0,720-724,3.0,5623.0,0.0,4 years
10000,10000.0,0.1311,36,credit_card,19.38%,UT,MORTGAGE,4958.33,710-714,9.0,24598.0,1.0,2 years
17000,16975.0,0.1199,60,debt_consolidation,12.69%,NC,MORTGAGE,4666.67,745-749,17.0,11677.0,2.0,10+ years
16750,9445.58,0.1241,36,credit_card,24.75%,FL,RENT,3750.0,720-724,6.0,28116.0,1.0,10+ years
7200,7200.0,0.1212,36,debt_consolidation,18.61%,CA,OWN,3208.33,680-684,8.0,9849.0,0.0,1 year
1500,1500.0,0.1299,36,other,20.60%,MO,MORTGAGE,5000.0,690-694,15.0,38176.0,1.0,4 years
13600,13600.0,0.1212,36,credit_card,20.94%,WA,MORTGAGE,5416.67,685-689,15.0,17117.0,0.0,10+ years
10000,10000.0,0.1777,36,debt_consolidation,26.32%,CO,RENT,2500.0,680-684,6.0,17543.0,1.0,7 years
10000,10000.0,0.1171,36,debt_consolidation,5.98%,KS,MORTGAGE,3746.58,695-699,5.0,9005.0,0.0,2 years
7000,6975.0,0.1316,36,car,22.32%,CA,MORTGAGE,3041.67,700-704,13.0,15394.0,1.0,< 1 year
4700,4700.0,0.079,36,renewable_energy,10.65%,OR,RENT,3416.67,760-764,3.0,2297.0,0.0,10+ years
15000,14875.0,0.1905,36,debt_consolidation,14.49%,CA,RENT,5000.0,665-669,12.0,10679.0,1.0,< 1 year
2800,2800.0,0.1417,36,debt_consolidation,0%,MD,MORTGAGE,3458.0,680-684,3.0,0.0,2.0,10+ years
12000,11950.0,0.1212,36,credit_card,22.98%,NY,RENT,5416.67,690-694,7.0,13234.0,0.0,4 years
16250,16250.0,0.2328,60,other,11.67%,CA,OWN,4300.0,660-664,10.0,16444.0,0.0,n/a
25000,25000.0,0.1849,60,debt_consolidation,10.08%,CA,RENT,7666.67,715-719,12.0,14631.0,2.0,3 years
3000,3000.0,0.1212,36,major_purchase,14.93%,FL,RENT,6333.33,680-684,13.0,8682.0,0.0,4 years
17000,16650.0,0.1218,36,debt_consolidation,15.80%,GA,MORTGAGE,5292.0,715-719,9.0,21441.0,1.0,10+ years
5000,5000.0,0.089,36,credit_card,21.47%,CA,RENT,3000.0,715-719,4.0,12841.0,0.0,3 years
9000,9000.0,0.1311,36,debt_consolidation,12.67%,IL,RENT,3466.67,680-684,13.0,11103.0,0.0,7 years
12000,11650.0,0.1323,60,car,20.76%,FL,MORTGAGE,5683.0,730-734,15.0,21583.0,2.0,3 years
16500,16500.0,0.079,36,debt_consolidation,27.23%,NY,RENT,4583.33,760-764,11.0,8176.0,1.0,1 year
18000,13003.66,0.1189,36,debt_consolidation,22.30%,OH,MORTGAGE,6000.0,745-749,16.0,23518.0,2.0,9 years
10000,7945.17,0.1316,36,debt_consolidation,24.47%,MN,RENT,3583.33,680-684,16.0,10193.0,0.0,2 years
12000,12000.0,0.158,36,credit_card,9.33%,TX,MORTGAGE,10000.0,675-679,11.0,22312.0,1.0,10+ years
10000,10000.0,0.1016,36,other,13.11%,NY,RENT,4285.5,710-714,17.0,11724.0,0.0,< 1 year
3800,3800.0,0.1465,36,debt_consolidation,22.58%,CA,RENT,3666.67,670-674,11.0,13883.0,1.0,< 1 year
7200,7200.0,0.1727,36,debt_consolidation,20.48%,CA,RENT,2500.0,670-674,14.0,4539.0,1.0,< 1 year
25450,25425.0,0.1399,60,credit_card,26.38%,NC,RENT,4416.67,720-724,13.0,31828.0,2.0,3 years
8000,8000.0,0.0599,36,home_improvement,9.59%,OH,MORTGAGE,7250.0,760-764,6.0,4938.0,0.0,10+ years
10000,10000.0,0.1427,36,debt_consolidation,16.61%,OH,MORTGAGE,4083.33,675-679,15.0,6418.0,2.0,6 years
4800,4800.0,0.1465,60,other,22.38%,CO,RENT,3333.0,695-699,7.0,4147.0,2.0,3 years
7000,7000.0,0.1212,36,debt_consolidation,12.49%,MA,RENT,5166.67,675-679,12.0,10513.0,0.0,6 years
9975,9975.0,0.079,36,debt_consolidation,7.13%,OH,MORTGAGE,5000.0,720-724,17.0,9773.0,2.0,5 years
16000,16000.0,0.1727,60,debt_consolidation,8.44%,NY,RENT,4666.67,695-699,9.0,15200.0,0.0,10+ years
21200,21175.0,0.1849,36,credit_card,30.62%,CA,RENT,4500.0,675-679,15.0,17250.0,0.0,10+ years
6500,6500.0,0.0751,36,other,1.50%,KY,MORTGAGE,3208.33,805-809,5.0,269.0,0.0,10+ years
19000,19000.0,0.0976,36,debt_consolidation,16.43%,FL,RENT,3833.33,725-729,10.0,22033.0,1.0,7 years
6500,5329.76,0.1189,36,debt_consolidation,8.57%,NJ,RENT,1750.0,720-724,8.0,9317.0,1.0,6 years
1500,1500.0,0.2149,36,other,13.59%,TX,RENT,3583.33,685-689,7.0,4747.0,1.0,< 1 year
20000,20000.0,0.1875,36,debt_consolidation,17.36%,CA,RENT,8333.33,675-679,9.0,31870.0,2.0,< 1 year
10000,10000.0,0.1349,36,credit_card,5.88%,CA,MORTGAGE,4166.67,695-699,5.0,8899.0,2.0,10+ years
10000,10000.0,0.1114,60,debt_consolidation,15.82%,WI,RENT,3250.0,795-799,5.0,11319.0,1.0,6 years
9000,9000.0,0.1991,60,debt_consolidation,15.74%,SC,MORTGAGE,4333.33,670-674,9.0,5015.0,0.0,6 years
4200,4200.0,0.1136,36,debt_consolidation,7.49%,TX,MORTGAGE,2750.0,685-689,12.0,4898.0,1.0,5 years
6625,6625.0,0.1777,36,debt_consolidation,33.43%,IL,RENT,2916.67,665-669,13.0,11369.0,0.0,1 year
3825,3825.0,0.1427,36,debt_consolidation,24.68%,CA,RENT,2495.83,670-674,8.0,4560.0,1.0,4 years
4200,4200.0,0.0925,36,home_improvement,15.83%,WA,MORTGAGE,7000.0,700-704,8.0,7167.0,0.0,10+ years
17325,17325.0,0.089,36,credit_card,18.28%,IL,MORTGAGE,3333.33,725-729,17.0,11327.0,0.0,9 years
8000,7925.0,0.1749,36,debt_consolidation,18.72%,CA,RENT,2083.33,695-699,4.0,20802.0,0.0,10+ years
12000,12000.0,0.0662,36,debt_consolidation,12.36%,NY,RENT,4416.67,765-769,12.0,4117.0,1.0,3 years
5000,5000.0,0.0603,36,credit_card,15.74%,TX,RENT,3125.0,765-769,11.0,4557.0,0.0,6 years
14000,14000.0,0.0999,36,debt_consolidation,16.84%,MD,RENT,4583.33,750-754,4.0,25.0,0.0,2 years
10750,10750.0,0.089,36,debt_consolidation,6.04%,FL,OWN,2750.0,765-769,5.0,4693.0,0.0,5 years
10000,10000.0,0.1531,36,debt_consolidation,19.98%,OK,MORTGAGE,6041.67,670-674,7.0,6458.0,0.0,1 year
16550,16550.0,0.1727,36,debt_consolidation,32.56%,MN,MORTGAGE,4333.33,675-679,15.0,12163.0,1.0,10+ years
3300,3300.0,0.0599,36,home_improvement,11.04%,NC,MORTGAGE,2500.0,740-744,9.0,11144.0,0.0,2 years
8000,8000.0,0.1409,36,debt_consolidation,21%,NJ,OWN,3500.0,675-679,12.0,7498.0,0.0,1 year
14000,14000.0,0.1065,36,debt_consolidation,24.53%,WA,RENT,3200.0,720-724,7.0,21214.0,1.0,5 years
18000,18000.0,0.089,60,debt_consolidation,5.30%,OK,MORTGAGE,8333.33,755-759,8.0,5211.0,1.0,6 years
10000,9999.71,0.1349,60,other,17.80%,IL,RENT,2500.0,720-724,8.0,3822.0,2.0,8 years
12000,10928.83,0.0579,36,home_improvement,2.25%,GA,MORTGAGE,8000.0,765-769,12.0,5193.0,0.0,2 years
4200,4200.0,0.1461,36,educational,15.28%,CA,RENT,6333.33,665-669,11.0,15578.0,0.0,1 year
11200,11200.0,0.2174,60,debt_consolidation,6.30%,NY,RENT,5583.33,660-664,12.0,7952.0,2.0,10+ years
15000,15000.0,0.1599,36,debt_consolidation,7.68%,VA,RENT,4583.0,675-679,10.0,15821.0,0.0,2 years
12100,12100.0,0.1199,36,small_business,24.78%,TX,RENT,8750.0,755-759,10.0,1642.0,1.0,1 year
14000,13975.0,0.1398,60,vacation,10.20%,GA,RENT,3145.83,715-719,8.0,3449.0,0.0,< 1 year
4900,4900.0,0.0599,36,home_improvement,6.64%,VA,MORTGAGE,2666.67,770-774,5.0,3455.0,1.0,4 years
19200,19200.0,0.1212,36,credit_card,29.58%,TX,OWN,3583.33,715-719,11.0,29797.0,0.0,8 years
8500,8500.0,0.0976,36,debt_consolidation,6.58%,CA,MORTGAGE,5333.33,705-709,10.0,3432.0,0.0,10+ years
12000,11875.0,0.0788,36,educational,14.79%,CA,RENT,3333.33,760-764,8.0,1357.0,0.0,2 years
21000,21000.0,0.1922,60,credit_card,13.87%,IL,MORTGAGE,6000.0,680-684,10.0,17008.0,1.0,10+ years
10000,10000.0,0.1212,36,credit_card,15.60%,MI,OWN,3833.33,685-689,6.0,4734.0,0.0,10+ years
10000,9975.0,0.1799,60,car,8.93%,CA,RENT,4300.0,685-689,4.0,37.0,1.0,10+ years
12000,12000.0,0.1849,36,debt_consolidation,9.44%,CA,OWN,5746.0,660-664,12.0,9561.0,0.0,4 years
12000,10325.0,0.1199,60,debt_consolidation,6.79%,CA,RENT,4166.67,720-724,11.0,5934.0,0.0,4 years
4000,3945.6,0.0676,36,moving,23.52%,KY,RENT,3350.0,755-759,6.0,627.0,1.0,1 year
20000,20000.0,0.1972,60,debt_consolidation,24.78%,GA,MORTGAGE,5416.67,675-679,12.0,33166.0,0.0,10+ years
24375,24375.0,0.1399,36,debt_consolidation,13.64%,PA,MORTGAGE,11500.0,695-699,16.0,35461.0,0.0,10+ years
7500,4538.17,0.0907,36,other,4.86%,FL,RENT,5000.0,750-754,10.0,8575.0,1.0,8 years
9550,9550.0,0.1074,36,debt_consolidation,14.33%,AL,MORTGAGE,4000.0,700-704,8.0,9128.0,0.0,3 years
25000,24975.0,0.205,60,debt_consolidation,9.59%,OH,RENT,5077.58,690-694,6.0,17946.0,0.0,10+ years
10000,10000.0,0.1111,36,debt_consolidation,20.15%,NH,RENT,6083.33,700-704,3.0,924.0,0.0,< 1 year
20000,20000.0,0.0662,36,debt_consolidation,11.12%,CA,RENT,10333.33,790-794,8.0,12632.0,0.0,6 years
12000,12000.0,0.1212,36,credit_card,7.24%,NY,MORTGAGE,10416.67,710-714,10.0,31489.0,1.0,2 years
5600,2025.01,0.1482,36,other,20.60%,CA,RENT,6083.33,655-659,7.0,2166.0,2.0,2 years
18000,18000.0,0.1016,36,debt_consolidation,26.08%,SC,MORTGAGE,5925.0,710-714,14.0,23378.0,0.0,10+ years
8000,7575.0,0.0751,36,debt_consolidation,4.40%,TX,MORTGAGE,2430.0,765-769,5.0,2783.0,0.0,2 years
4000,4000.0,0.0976,36,debt_consolidation,15.89%,CA,MORTGAGE,4166.67,705-709,17.0,13745.0,1.0,10+ years
6000,5975.0,0.079,36,small_business,18.86%,PA,RENT,2100.0,715-719,9.0,4847.0,0.0,3 years
15000,15000.0,0.1777,36,debt_consolidation,13.34%,FL,MORTGAGE,4333.33,670-674,9.0,17264.0,0.0,10+ years
20950,20950.0,0.1367,60,major_purchase,8.90%,IL,RENT,6666.67,745-749,7.0,5680.0,1.0,1 year
10625,10625.0,0.079,36,debt_consolidation,22.35%,OR,MORTGAGE,3333.33,725-729,15.0,15946.0,0.0,10+ years
9000,9000.0,0.1016,60,other,14.77%,AZ,RENT,3500.0,755-759,5.0,3135.0,0.0,2 years
20000,11800.0,0.1148,36,debt_consolidation,23.52%,AL,MORTGAGE,4166.67,745-749,11.0,24123.0,1.0,< 1 year
25800,25800.0,0.1311,36,credit_card,18.99%,VT,RENT,4833.33,715-719,7.0,31427.0,0.0,4 years
12000,7595.31,0.1158,36,small_business,11.07%,CT,RENT,3333.33,715-719,7.0,17495.0,0.0,1 year
18650,18650.0,0.2049,36,debt_consolidation,20.07%,OH,MORTGAGE,4833.33,660-664,12.0,17740.0,0.0,10+ years
10000,10000.0,0.1212,36,credit_card,16.93%,CO,MORTGAGE,3816.67,710-714,8.0,10830.0,2.0,7 years
8000,8000.0,0.1433,36,debt_consolidation,14.74%,CA,RENT,3108.0,690-694,3.0,3072.0,0.0,8 years
24375,24375.0,0.1311,36,debt_consolidation,10.86%,NV,OWN,10416.67,705-709,11.0,19981.0,0.0,6 years
3500,3500.0,0.079,36,other,22.04%,VA,MORTGAGE,7247.0,710-714,11.0,9592.0,0.0,< 1 year
7900,7900.0,0.1367,36,debt_consolidation,8.40%,CA,RENT,3000.0,675-679,5.0,8990.0,0.0,2 years
10000,10000.0,0.1212,36,debt_consolidation,19.62%,CA,RENT,3640.0,695-699,11.0,13124.0,0.0,10+ years
10400,10375.0,0.1758,60,small_business,8.93%,CA,RENT,7110.42,725-729,8.0,856.0,0.0,10+ years
7500,7450.0,0.0714,36,debt_consolidation,8.61%,KY,MORTGAGE,2916.67,755-759,6.0,7962.0,0.0,2 years
18800,18800.0,0.1433,60,debt_consolidation,30.96%,AL,RENT,5000.0,720-724,13.0,16397.0,0.0,8 years
21000,21000.0,0.1311,36,debt_consolidation,18.44%,VA,MORTGAGE,7916.67,695-699,10.0,9734.0,0.0,7 years
8500,8500.0,0.0662,36,car,7.24%,CA,OWN,6300.0,750-754,13.0,9769.0,1.0,5 years
13200,13200.0,0.1171,36,credit_card,15.74%,NY,RENT,3791.67,705-709,10.0,16187.0,1.0,5 years
3000,3000.0,0.1999,60,other,19.63%,VA,MORTGAGE,4416.67,710-714,4.0,0.0,1.0,5 years
19200,19200.0,0.2247,60,credit_card,10.39%,AZ,RENT,5666.67,670-674,5.0,17783.0,0.0,< 1 year
13600,13600.0,0.1864,60,credit_card,12.85%,MN,RENT,5651.33,675-679,13.0,24383.0,0.0,10+ years
6000,6000.0,0.0788,36,vacation,9.60%,PA,MORTGAGE,5500.0,730-734,6.0,790.0,1.0,3 years
22000,22000.0,0.1465,60,debt_consolidation,29.26%,NC,MORTGAGE,3912.0,705-709,8.0,21633.0,0.0,10+ years
12000,12000.0,0.1531,36,debt_consolidation,13.80%,TX,MORTGAGE,3333.33,665-669,10.0,16181.0,0.0,10+ years
5000,5000.0,0.1839,36,vacation,13.71%,NJ,RENT,8125.0,675-679,5.0,29602.0,0.0,10+ years
10000,10000.0,0.079,36,major_purchase,12.80%,NJ,RENT,6666.67,730-734,11.0,9261.0,0.0,1 year
